story_qn,answer_text
Secure development in Program Level,
Secure development in Delivery level,
Secure development in Sirius,"The Secure Development tile in Sirius is the central tool for the Secure Software Development Life Cycle at SAP. Releasing SAP Products requires an accurate understanding of the security risks. This can happen only if SAP programs maintain the end to end information in Sirius Secure Development i.e. the status of all activities and artifacts of the various phases Secure SDL. 
For more information on Secure Development, please follow our friendly [Sirius Secure Development documentation](https://wiki.wdf.sap.corp/wiki/display/DevFw/Documentation%3A+Sirius+Secure+Development)"
What is Secure Development?,
How can I create a project?,"Creating a project in SAP Jira is easy! 
⠀ 
You can follow these steps to create a project: 
⠀ 
- Navigate to **Projects** > **Create Project in Jira.**
- You will be redirected to a new window or tab in your browser.
- Click the button **Create / Add SAP Jira project.**"
how to create project,
create project,
I want to make project.,
How can I make a project?,
How can I customize a project?,"SAP Jira is highly customizable! 
⠀ 
To customize a project, create a [**customizing request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) with the necessary information. 
⠀ 
Our amazing SAP Jira admin team will handle the rest!"
How can I update existing scheme of my project?,
How can I modify the workflow of my project?,
How can I get notified when an issue is changed?,
How can I add a new custom field to my project?,
How can I add a new scheme to my project?,
How can I create new issue type for my project?,
How can I change project configuration?,
How can I add new screens to my project?,
How can I change notification settings in my project?,
How can I change the permission scheme of my project?,
How can I test different configuration schemes?,"Create a [**configuration request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) with the necessary information. 
⠀ 
Our amazing SAP Jira admin team will handle the rest!"
"Is there a way for me to test out different permission schemes, notification schemes, workflows etc. without affecting my project settings?",
Where cam I test a new scheme?,
test new scheme,
How can I be an administrator in the test system?,
different configuration testing,
How can I add automation to a structure?,"You can add automation to a structure in two easy steps! 
⠀ 
- Clicking on the **Automation** button.
- Click on the **+** button to add an automation.
⠀ 

Wasn’t that easy? 😊"
i want to automate structure,
add automation to structire,
add automation to structure,
automate structure,
How can I arrange rows in a structure?,"Arranging rows in a structure is simple! 
⠀ 
- Clicking on the **Automation** button.
- Click on the **+** button. 
- Click on the **Sort by** button and enter **Agile Rank**. 
⠀ 
The rows in your structure are now arranged!"
sort rows in structure,
how to modify rows in structure,
How to arrange rows in structure,
How can I create a sub-task in a structure board?,"There are two ways to create a sub-task in a structure board! 
⠀ 
**Option 1: Using the mouse** 

⠀ 
- Select the issue row you want to create sub-task for. You will see three dots at the end of the row.
- Click on the dots to open a dropdown menu.
- Select **Create sub-task.** 
⠀ 

**Option 2: Using the keyboard** 

⠀ 
- Press . and type **sub-task** in the pop-up search. 
- Select **Create Sub-task.** 
⠀ 

Pretty neat, isn’t it? 😊"
add subtask in structure,
How to add sub-task in structure,
How can I allow users to edit a structure?,"To allow users to edit a structure, you need to have [**control permissions**](https://wiki.almworks.com/display/structure/Structure+Permissions) for the structure. 
⠀ 
If you have **control permissions**, you can give the **Edit** permission to any user in few simple steps using this friendly [**guide**](https://wiki.wdf.sap.corp/wiki/pages/viewpage.action?pageId=2160507200)! 
⠀ 
If you do not have **control permissions**, please contact the structure owner."
How to make team edit structure,
I am not able to edit structure,
How can I let my team edit the structure I created?,
How can I let others organize my structure?,
How can I restore an archived project?,"It is not possible to restore an archived project! 
⠀ 
However, you can view a minimal version of the archived project’s data in read-only mode."
How to bring back archived project,
How to restore archived project,
How to use archived project,
Why am I getting a captcha error while calling a REST API?,"A captcha error is triggered after three consecutive failed login attempts. 
⠀ 
Are you seeing this error? We are here to help! 
⠀ 
Please raise a [**request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6) with details of the error to help us resolve this issue."
Why am I getting a 'HTTP 403 Authorization Denied error' while calling a REST API?,
 How can I unlock my user account?,
why is my rest api not working,
Why is my REST API call not working?,
How can I use basic authentication for SAP Jira?,"Basic Authentication requires your HTTP client to send HTTP requests with the Authorization header that contains the **Basic** word followed by a space and a base64-encoded string **username:password** 
⠀ 
You can find more information [**here**](https://wiki.wdf.sap.corp/wiki/display/SAPJira/General+FAQs#GeneralFAQs-BasicauthenticationforSAPJIRA)!"
how to consume basic auth,
How to use basic auth,
How can I consume Rest APIs from SAP Jira?,"You are welcome to consume [**REST APIs**](https://docs.atlassian.com/software/jira/docs/api/REST/7.13.8/) for SAP Jira. 
⠀ 
While consuming REST APIs, we recommend that you avoid making frequent or resource intensive API calls to SAP Jira."
how to use rest api for sap jira,
how to consume rest api,
How can I know if my REST client is failing due to a captcha error?,"If your REST client is failing due to captcha error, your REST client will return a HTTP response having **“captchaFailure”:true**. 
⠀ 
If you see this error, please create an [**ITDirect ticket**](https://fiorilaunchpad.sap.com/sites#Help-Inbox&/create/ZINE/IMFIT_TOOLS_SAPJIRA/JIRA:%20/) and we will assist you 😊"
rest client captcha error,
Rest client failing,
Where can I find recommendations for working with Xray?,You can find **recommendations** for using Xray in our friendly [**guide**](https://wiki.wdf.sap.corp/wiki/display/QETools/2.4+FAQs+and+Recommendations#id-2.4FAQsandRecommendations-Recommendations)!
Where can I find recommendations for using Xray?,
What is the status of the Xray pilot?,The pilot of the Xray plugin ended October 2020. Further information and the latest news can be found in our [**wiki documentation**](https://wiki.wdf.sap.corp/wiki/x/lEELh).
How can I view the Requirement status for a backlog item in my board?,"To view the **Requirement status** in an Agile board:

1. Go to **Board Configuration** and click on **Card layout** (on the left-hand side).
2. Add the field **Requirement Status**.

It’s that simple! 😊"
How can I view the Test Execution status of a backlog item in my board?,"To view the **Test Execution status** in an Agile board:

1. Go to the **Board Configuration** and click on **Card layout** (on the left-hand side).
2. Add the field **Test Execution Status**.

Wasn’t that easy? 😊"
How can I enable Requirement Status for my project?,"You need to be a project administrator to enable **Requirement Status**.

To enable requirement status, follow these simple steps:

1. Go to **Project settings**.
2. Click on **Actions**.
3. Select **Enable Xray Requirement Coverage**.

This enables Requirement Status for the issue types Epic, User Story, Backlog Item and Requirement."
Why can’t I see the Requirement Status in my backlog items?,
How to toggle Requirement coverage?,
How can I create an Xray project?,"You can **create an Xray project** by following these simple steps:

1. Create a standard project in [**Artemis**](https://artemis.cfapps.eu10.hana.ondemand.com/).
2. Create a [**request**](https://sapjira.wdf.sap.corp/secure/CreateIssueDetails!init.jspa?pid=12252&issuetype=6&components=119192) to enable Xray for the above project.

Our amazing Jira admin team will handle the rest!"
